Episode,DQN,DDQN,PERDQN,PERDDQN
298,10.0,15.0,12.0,5.0
299,11.0,10.0,11.0,12.0
300,8.0,10.0,13.0,4.0
301,5.0,13.0,11.0,11.0
302,11.0,7.0,1.0,14.0
303,10.0,10.0,10.0,7.0
304,11.0,2.0,9.0,9.0
305,6.0,12.0,11.0,7.0
306,6.0,17.0,10.0,5.0
307,8.0,4.0,8.0,15.0
308,9.0,7.0,12.0,9.0
309,15.0,9.0,12.0,9.0
310,9.0,9.0,9.0,13.0
311,14.0,5.0,5.0,13.0
312,14.0,5.0,14.0,8.0
313,12.0,13.0,12.0,13.0
314,11.0,19.0,9.0,9.0
315,4.0,10.0,8.0,8.0
316,8.0,9.0,7.0,11.0
317,7.0,10.0,10.0,10.0
318,10.0,10.0,13.0,9.0
319,9.0,15.0,12.0,8.0
320,4.0,10.0,5.0,6.0
321,9.0,11.0,10.0,11.0
322,13.0,3.0,12.0,13.0
323,21.0,8.0,12.0,10.0
324,9.0,9.0,4.0,13.0
325,8.0,13.0,11.0,13.0
326,5.0,13.0,12.0,11.0
327,14.0,7.0,5.0,10.0
328,9.0,13.0,13.0,7.0
329,9.0,15.0,8.0,9.0
330,6.0,10.0,15.0,13.0
331,16.0,11.0,7.0,14.0
332,6.0,10.0,9.0,9.0
333,5.0,13.0,11.0,6.0
334,4.0,12.0,12.0,9.0
335,11.0,9.0,15.0,4.0
336,15.0,2.0,12.0,5.0
337,3.0,7.0,11.0,5.0
338,11.0,9.0,4.0,5.0
339,9.0,12.0,9.0,12.0
340,14.0,7.0,15.0,10.0
341,3.0,14.0,6.0,14.0
342,9.0,11.0,12.0,8.0
343,6.0,13.0,10.0,15.0
344,8.0,12.0,13.0,7.0
345,7.0,13.0,12.0,6.0
346,14.0,11.0,7.0,11.0
347,8.0,12.0,8.0,14.0
348,14.0,6.0,9.0,15.0
349,7.0,12.0,15.0,12.0
350,18.0,13.0,8.0,10.0
351,9.0,5.0,9.0,19.0
352,8.0,12.0,10.0,11.0
353,13.0,10.0,11.0,10.0
354,10.0,9.0,3.0,16.0
355,16.0,7.0,5.0,14.0
356,9.0,17.0,17.0,7.0
357,12.0,13.0,11.0,8.0
358,2.0,7.0,11.0,11.0
359,15.0,11.0,5.0,13.0
360,4.0,12.0,14.0,10.0
361,12.0,10.0,16.0,6.0
362,10.0,12.0,12.0,10.0
363,17.0,8.0,7.0,15.0
364,5.0,13.0,6.0,7.0
365,11.0,9.0,7.0,13.0
366,14.0,12.0,15.0,12.0
367,10.0,17.0,10.0,17.0
368,11.0,13.0,9.0,13.0
369,7.0,17.0,9.0,12.0
370,9.0,4.0,5.0,6.0
371,13.0,12.0,11.0,10.0
372,16.0,16.0,9.0,11.0
373,6.0,15.0,11.0,10.0
374,10.0,14.0,9.0,3.0
375,19.0,13.0,17.0,13.0
376,11.0,13.0,14.0,11.0
377,12.0,11.0,10.0,16.0
378,5.0,15.0,6.0,13.0
379,12.0,9.0,13.0,12.0
380,15.0,9.0,10.0,6.0
381,8.0,17.0,12.0,8.0
382,8.0,14.0,15.0,12.0
383,10.0,14.0,10.0,6.0
384,8.0,12.0,15.0,5.0
385,10.0,10.0,10.0,14.0
386,14.0,15.0,10.0,15.0
387,7.0,8.0,14.0,11.0
388,11.0,20.0,11.0,8.0
389,15.0,7.0,14.0,19.0
390,13.0,10.0,13.0,10.0
391,16.0,20.0,4.0,12.0
392,8.0,6.0,15.0,21.0
393,17.0,12.0,14.0,9.0
394,10.0,16.0,17.0,1.0
